Handle,Identifier_other,Coll_name
2027.42/97336,2013014_0001,Robert W. Schoening Papers
2027.42/97335,2013014_0001,Robert W. Schoening Papers
2027.42/97329,2013014_0001,Robert W. Schoening Papers
2027.42/97330,2013014_0001,Robert W. Schoening Papers
2027.42/97333,2013014_0001,Robert W. Schoening Papers
2027.42/97331,2013014_0001,Robert W. Schoening Papers
2027.42/97334,2013014_0001,Robert W. Schoening Papers
2027.42/97332,2013014_0001,Robert W. Schoening Papers
2027.42/97337,2013014_0001,Robert W. Schoening Papers
2027.42/121932,06100-SR-24-1,"West Side United Methodist Church (Ann Arbor, Mich.) Records"
2027.42/121933,06100-SR-25-1,"West Side United Methodist Church (Ann Arbor, Mich.) Records"
2027.42/121934,06100-SR-26-1,"West Side United Methodist Church (Ann Arbor, Mich.) Records"
2027.42/121935,06100-SR-27-1,"West Side United Methodist Church (Ann Arbor, Mich.) Records"
2027.42/121936,06100-SR-28-1,"West Side United Methodist Church (Ann Arbor, Mich.) Records"
2027.42/121937,06100-SR-29-1,"West Side United Methodist Church (Ann Arbor, Mich.) Records"
2027.42/121929,06100-SR-21-1,"West Side United Methodist Church (Ann Arbor, Mich.) Records"
2027.42/121930,06100-SR-22-1,"West Side United Methodist Church (Ann Arbor, Mich.) Records"
2027.42/121931,06100-SR-23-1,"West Side United Methodist Church (Ann Arbor, Mich.) Records"
2027.42/89906,2011178_0001,Peter Pollack Papers
2027.42/89905,2011178_0001,Peter Pollack Papers
2027.42/89904,2011178_0001,Peter Pollack Papers
2027.42/89903,2011178_0001,Peter Pollack Papers
2027.42/109422,2014125_0001_0001,Peace Corps Office (University of Michigan) Records
2027.42/109426,2014125_0001_0005,Peace Corps Office (University of Michigan) Records
2027.42/109424,2014125_0001_0003,Peace Corps Office (University of Michigan) Records
2027.42/109430,2014125_0001_0009,Peace Corps Office (University of Michigan) Records
2027.42/109423,2014125_0001_0002,Peace Corps Office (University of Michigan) Records
2027.42/109425,2014125_0001_0004,Peace Corps Office (University of Michigan) Records
2027.42/109428,2014125_0001_0007,Peace Corps Office (University of Michigan) Records
2027.42/109427,2014125_0001_0006,Peace Corps Office (University of Michigan) Records
2027.42/109429,2014125_0001_0008,Peace Corps Office (University of Michigan) Records
2027.42/102026,87198_0005_0002,Horace H. Rackham School of Graduate Studies (University of Michigan) Records and Publications
2027.42/102025,87198_0005_0001,Horace H. Rackham School of Graduate Studies (University of Michigan) Records and Publications
2027.42/122765,87198_0004_0001,Horace H. Rackham School of Graduate Studies (University of Michigan) Records and Publications
2027.42/122768,87198_0006_0002,Horace H. Rackham School of Graduate Studies (University of Michigan) Records and Publications
2027.42/122766,87198_0004_0002,Horace H. Rackham School of Graduate Studies (University of Michigan) Records and Publications
2027.42/122763,87198_0003,Horace H. Rackham School of Graduate Studies (University of Michigan) Records and Publications
2027.42/122761,87198_0001,Horace H. Rackham School of Graduate Studies (University of Michigan) Records and Publications
2027.42/122764,87198_0003,Horace H. Rackham School of Graduate Studies (University of Michigan) Records and Publications
2027.42/122762,87198_0002,Horace H. Rackham School of Graduate Studies (University of Michigan) Records and Publications
2027.42/122767,87198_0006_0001,Horace H. Rackham School of Graduate Studies (University of Michigan) Records and Publications
2027.42/117560,87365-1_0001_0001,Provost and Executive Vice President for Academic Affairs (University of Michigan) Records
2027.42/117561,87365-1_0001_0002,Provost and Executive Vice President for Academic Affairs (University of Michigan) Records
2027.42/102621,2013050_0001_0003,"Cole, Juan Ricardo"
2027.42/102620,2013050_0001_0002,"Cole, Juan Ricardo"
2027.42/122253,87334-SR-1-2-1,Eclipse Jazz (University of Michigan) Records
2027.42/122263,87334-SR-6-2-1,Eclipse Jazz (University of Michigan) Records
2027.42/122258,87334-SR-3-1-1,Eclipse Jazz (University of Michigan) Records
2027.42/122254,87334-SR-10-1-1,Eclipse Jazz (University of Michigan) Records
2027.42/122255,87334-SR-11-1-1,Eclipse Jazz (University of Michigan) Records
2027.42/122259,87334-SR-4-1-1,Eclipse Jazz (University of Michigan) Records
2027.42/122256,87334-SR-2-1-1,Eclipse Jazz (University of Michigan) Records
2027.42/122264,87334-SR-7-1-1,Eclipse Jazz (University of Michigan) Records
2027.42/122260,87334-SR-5-1-1,Eclipse Jazz (University of Michigan) Records
2027.42/122265,87334-SR-7-2-1,Eclipse Jazz (University of Michigan) Records
2027.42/122261,87334-SR-5-2-1,Eclipse Jazz (University of Michigan) Records
2027.42/122266,87334-SR-8-1-1,Eclipse Jazz (University of Michigan) Records
2027.42/122262,87334-SR-6-1-1,Eclipse Jazz (University of Michigan) Records
2027.42/122267,87334-SR-9-1-1,Eclipse Jazz (University of Michigan) Records
2027.42/122252,87334-SR-1-1-1,Eclipse Jazz (University of Michigan) Records
2027.42/122257,87334-SR-2-2-1,Eclipse Jazz (University of Michigan) Records
2027.42/121408,88142-SR-21-1,Albert J. Schimpke Collection of R. G. Peters Materials
2027.42/121409,88142-SR-22-1,Albert J. Schimpke Collection of R. G. Peters Materials
