collno,handle,title
8782,2027.42/93586,A. Alfred Taubman College of Architecture and Urban Planning (University of Michigan) Records and Publications
976,2027.42/93586,A. Alfred Taubman College of Architecture and Urban Planning (University of Michigan) Records and Publications
87120,2027.42/93586,A. Alfred Taubman College of Architecture and Urban Planning (University of Michigan) Records and Publications
2011097,2027.42/108486,A. Alfred Taubman Papers
88142,2027.42/107664,Albert J. Schimpke Collection of R. G. Peters Materials
851510,2027.42/107658,"Alternative Perspectives on Vietnam Records and Sound Recordings, 1965-1966"
8730,2027.42/107671,Alumni Association (University of Michigan) Records and Publications
8730p,2027.42/107671,Alumni Association (University of Michigan) Records and Publications
85746,2027.42/102548,Alvin M. Bentley Papers
2010015,2027.42/107673,Ana Luisa Cardona Papers
2009120,2027.42/95716,Andrew Babicki Collection
02115,2027.42/120433,Andrew S. Watson Papers
2015044,2027.42/113179,Ann B. Davis Papers
9588,2027.42/120482,Archibald R. Hallock Sound Recording.
85188,2027.42/120457,Arnold Gingrich Papers
2013066,2027.42/108493,Arnold Weinstein Papers
86746,2027.42/102543,Arthur H. Vandenberg Papers
2009039,2027.42/120438,Arthur W. Kramer Sound Recording Collection
943,2027.42/101741,Athletic Department (University of Michigan) Records and Publications
2009151,2027.42/101741,Athletic Department (University of Michigan) Records and Publications
861154,2027.42/117401,Band (University of Michigan) Records
87245,2027.42/93216,Bentley Historical Library (University of Michigan) Records
0052,2027.42/93216,Bentley Historical Library (University of Michigan) Records
04105,2027.42/107450,Beth Bashert Papers
2013047,2027.42/113234,"Beth Israel Congregation ""Jewish Life in Ann Arbor"" Oral History Project Records"
8634,2027.42/120471,Blair Moody Papers
8722,2027.42/98957,Board of Regents (University of Michigan) Records
0582,2027.42/98957,Board of Regents (University of Michigan) Records
2010215,2027.42/120441,Boyne USA Resorts Records
0648,2027.42/120436,"Canterbury House, Ann Arbor, Mich. Records"
9580,2027.42/120481,Carlos P. Romulo Sound Recording
2014145,2027.42/110516,Carol H. Tice Papers
89511,2027.42/79632,Center for Chinese Studies (University of Michigan) Records
9742,2027.42/79632,Center for Chinese Studies (University of Michigan) Records
2012095,2027.42/116396,Center for Ethics in Public Life (University of Michigan) Records
8742,2027.42/120477,Center for Japanese Studies (University of Michigan) Records
8740,2027.42/120476,Center for the Education of Women (University of Michigan) Records
8654,2027.42/102550,Charles A. Sink Papers
85444,2027.42/107662,Charles E. Potter Papers
87140,2027.42/120474,Clare E. Hoffman Papers
93841,2027.42/121333,College Resources Analysis System (CRAS) (University of Michigan) Records
8781,2027.42/100351,College of Engineering (University of Michigan) Records and Publications
977,2027.42/100351,College of Engineering (University of Michigan) Records and Publications
2009093,2027.42/100351,College of Engineering (University of Michigan) Records and Publications
9740,2027.42/100351,College of Engineering (University of Michigan) Records and Publications
87105,2027.42/87991,College of Pharmacy (University of Michigan) Records and Publications
97119,2027.42/87991,College of Pharmacy (University of Michigan) Records and Publications
2011123,2027.42/86712,Computer Aided Engineering Network (University of Michigan) Records
